Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current
(v)	mA	(v)	mA	(v)	mA	(v)	mA	(v)	mA	(v)	mA	(v)	mA	(v)	mA	(v)	mA	(v)	mA
	 Temp. 4		Temp.  10		Temp.  20		Temp.  30		Temp.  40		Temp.  50		Temp.  60		Temp.  70		Temp.  80		Temp.  90
0.004	-0.004	0.021	-0.021	0.02	-0.02	0.024	-0.024	0.02	-0.02	0.023	-0.023	0.027	-0.027	0.024	-0.024	0.026	-0.026	0.027	-0.027
0.101	-1E-3	0.103	-0.003	0.1	0	0.102	-0.002	0.103	-0.003	0.104	-0.004	0.105	-0.005	0.102	-0.002	0.107	-0.007	0.105	-0.005
0.201	-1E-3	0.202	-0.002	0.204	-0.004	0.202	-0.002	0.204	-0.004	0.202	-0.002	0.205	-0.005	0.204	-0.004	0.206	-0.006	0.205	-0.005
0.301	-1E-3	0.302	-0.002	0.305	-0.005	0.302	-0.002	0.304	-0.004	0.303	-0.003	0.301	-1E-3	0.303	-0.003	0.303	-0.003	0.3	0
0.401	-1E-3	0.402	-0.002	0.401	-1E-3	0.402	-0.002	0.404	-0.004	0.402	-0.002	0.401	-1E-3	0.401	-1E-3	0.402	-0.002	0.398	0.002
0.498	0.002	0.498	0.002	0.5	0	0.497	0.003	0.499	1E-3	0.496	0.004	0.491	0.009	0.49	0.01	0.483	0.017	0.474	0.026
0.594	0.006	0.594	0.006	0.589	0.011	0.581	0.019	0.569	0.031	0.562	0.038	0.551	0.049	0.541	0.059	0.529	0.071	0.515	0.085
0.654	0.046	0.649	0.051	0.634	0.066	0.621	0.079	0.605	0.095	0.593	0.107	0.579	0.121	0.566	0.134	0.551	0.149	0.536	0.164
0.678	0.122	0.672	0.128	0.656	0.144	0.64	0.16	0.623	0.177	0.61	0.19	0.595	0.205	0.581	0.219	0.566	0.234	0.55	0.25
0.692	0.208	0.686	0.214	0.668	0.232	0.652	0.248	0.635	0.265	0.62	0.28	0.606	0.294	0.591	0.309	0.576	0.324	0.56	0.34
0.701	0.299	0.695	0.305	0.677	0.323	0.661	0.339	0.643	0.357	0.629	0.371	0.614	0.386	0.599	0.401	0.583	0.417	0.568	0.432
0.708	0.392	0.701	0.399	0.684	0.416	0.667	0.433	0.65	0.45	0.635	0.465	0.621	0.479	0.606	0.494	0.59	0.51	0.574	0.526
0.713	0.487	0.707	0.493	0.69	0.51	0.673	0.527	0.655	0.545	0.641	0.559	0.626	0.574	0.612	0.588	0.596	0.604	0.58	0.62
0.718	0.582	0.711	0.589	0.694	0.606	0.677	0.623	0.66	0.64	0.645	0.655	0.631	0.669	0.616	0.684	0.6	0.7	0.584	0.716
0.722	0.678	0.715	0.685	0.698	0.702	0.681	0.719	0.663	0.737	0.649	0.751	0.634	0.766	0.62	0.78	0.604	0.796	0.589	0.811
0.725	0.775	0.719	0.781	0.701	0.799	0.685	0.815	0.667	0.833	0.653	0.847	0.638	0.862	0.624	0.876	0.608	0.892	0.592	0.908
0.728	0.872	0.722	0.878	0.704	0.896	0.688	0.912	0.671	0.929	0.656	0.944	0.641	0.959	0.627	0.973	0.612	0.988	0.596	1.004
0.731	0.969	0.725	0.975	0.707	0.993	0.691	1.009	0.674	1.026	0.659	1.041	0.645	1.055	0.63	1.07	0.614	1.086	0.599	1.101
0.733	1.067	0.727	1.073	0.709	1.091	0.693	1.107	0.676	1.124	0.662	1.138	0.648	1.152	0.633	1.167	0.617	1.183	0.601	1.199
0.735	1.165	0.729	1.171	0.712	1.188	0.696	1.204	0.679	1.221	0.664	1.236	0.65	1.25	0.635	1.265	0.62	1.28	0.604	1.296
0.737	1.263	0.731	1.269	0.714	1.286	0.698	1.302	0.681	1.319	0.667	1.333	0.652	1.348	0.638	1.362	0.622	1.378	0.607	1.393
0.74	1.36	0.734	1.366	0.716	1.384	0.7	1.4	0.684	1.416	0.669	1.431	0.655	1.445	0.64	1.46	0.625	1.475	0.609	1.491
0.742	1.458	0.735	1.465	0.718	1.482	0.702	1.498	0.685	1.515	0.671	1.529	0.657	1.543	0.642	1.558	0.627	1.573	0.611	1.589
0.743	1.557	0.737	1.563	0.72	1.58	0.704	1.596	0.688	1.612	0.673	1.627	0.659	1.641	0.644	1.656	0.629	1.671	0.613	1.687
0.745	1.655	0.739	1.661	0.722	1.678	0.706	1.694	0.689	1.711	0.675	1.725	0.66	1.74	0.646	1.754	0.631	1.769	0.615	1.785
0.747	1.753	0.741	1.759	0.723	1.777	0.708	1.792	0.691	1.809	0.676	1.824	0.662	1.838	0.648	1.852	0.632	1.868	0.617	1.883
0.748	1.852	0.742	1.858	0.725	1.875	0.709	1.891	0.693	1.907	0.678	1.922	0.664	1.936	0.65	1.95	0.635	1.965	0.619	1.981
0.749	1.951	0.743	1.957	0.726	1.974	0.71	1.99	0.694	2.006	0.68	2.02	0.665	2.035	0.651	2.049	0.636	2.064	0.62	2.08
0.751	2.049	0.745	2.055	0.727	2.073	0.712	2.088	0.695	2.105	0.681	2.119	0.667	2.133	0.653	2.147	0.638	2.162	0.622	2.178
0.752	2.148	0.746	2.154	0.729	2.171	0.713	2.187	0.697	2.203	0.683	2.217	0.669	2.231	0.654	2.246	0.639	2.261	0.624	2.276
0.753	2.247	0.747	2.253	0.73	2.27	0.715	2.285	0.698	2.302	0.684	2.316	0.67	2.33	0.656	2.344	0.641	2.359	0.625	2.375
0.755	2.345	0.749	2.351	0.731	2.369	0.716	2.384	0.7	2.4	0.686	2.414	0.671	2.429	0.657	2.443	0.642	2.458	0.627	2.473
0.756	2.444	0.75	2.45	0.733	2.467	0.717	2.483	0.701	2.499	0.687	2.513	0.673	2.527	0.659	2.541	0.644	2.556	0.628	2.572
0.757	2.543	0.751	2.549	0.734	2.566	0.719	2.581	0.702	2.598	0.688	2.612	0.674	2.626	0.66	2.64	0.644	2.656	0.63	2.67
0.758	2.642	0.752	2.648	0.735	2.665	0.719	2.681	0.703	2.697	0.689	2.711	0.675	2.725	0.661	2.739	0.646	2.754	0.631	2.769
0.759	2.741	0.753	2.747	0.736	2.764	0.721	2.779	0.704	2.796	0.69	2.81	0.676	2.824	0.662	2.838	0.647	2.853	0.632	2.868
0.76	2.84	0.754	2.846	0.738	2.862	0.722	2.878	0.705	2.895	0.692	2.908	0.678	2.922	0.664	2.936	0.648	2.952	0.633	2.967
0.761	2.939	0.755	2.945	0.738	2.962	0.722	2.978	0.706	2.994	0.693	3.007	0.679	3.021	0.665	3.035	0.65	3.05	0.634	3.066
0.762	3.038	0.756	3.044	0.74	3.06	0.724	3.076	0.708	3.092	0.694	3.106	0.68	3.12	0.666	3.134	0.651	3.149	0.636	3.164
0.763	3.137	0.757	3.143	0.74	3.16	0.725	3.175	0.709	3.191	0.695	3.205	0.681	3.219	0.667	3.233	0.652	3.248	0.637	3.263
0.763	3.237	0.758	3.242	0.741	3.259	0.726	3.274	0.71	3.29	0.696	3.304	0.682	3.318	0.668	3.332	0.653	3.347	0.638	3.362
0.765	3.335	0.759	3.341	0.742	3.358	0.727	3.373	0.711	3.389	0.697	3.403	0.683	3.417	0.669	3.431	0.654	3.446	0.639	3.461
0.766	3.434	0.76	3.44	0.743	3.457	0.728	3.472	0.712	3.488	0.698	3.502	0.684	3.516	0.67	3.53	0.655	3.545	0.64	3.56
0.766	3.534	0.761	3.539	0.744	3.556	0.728	3.572	0.712	3.588	0.699	3.601	0.685	3.615	0.671	3.629	0.656	3.644	0.641	3.659
0.767	3.633	0.761	3.639	0.745	3.655	0.729	3.671	0.713	3.687	0.7	3.7	0.686	3.714	0.672	3.728	0.657	3.743	0.642	3.758
0.768	3.732	0.762	3.738	0.746	3.754	0.73	3.77	0.714	3.786	0.701	3.799	0.687	3.813	0.673	3.827	0.658	3.842	0.643	3.857
0.769	3.831	0.763	3.837	0.747	3.853	0.731	3.869	0.716	3.884	0.702	3.898	0.687	3.913	0.674	3.926	0.659	3.941	0.644	3.956
0.769	3.931	0.764	3.936	0.747	3.953	0.732	3.968	0.716	3.984	0.702	3.998	0.689	4.011	0.675	4.025	0.66	4.04	0.645	4.055
0.77	4.03	0.765	4.035	0.748	4.052	0.733	4.067	0.717	4.083	0.703	4.097	0.689	4.111	0.676	4.124	0.661	4.139	0.646	4.154
0.771	4.129	0.765	4.135	0.749	4.151	0.733	4.167	0.717	4.183	0.704	4.196	0.69	4.21	0.677	4.223	0.662	4.238	0.646	4.254
0.772	4.228	0.766	4.234	0.75	4.25	0.735	4.265	0.719	4.281	0.705	4.295	0.691	4.309	0.677	4.323	0.663	4.337	0.648	4.352
